category,tags,image_url,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,correct_answer,rationale,question_type,correct_order,grid_columns,cloze_template,blank_1_options,blank_1_correct,blank_2_options,blank_2_correct,bowtie_condition_choices,bowtie_condition_answer,bowtie_action_choices,bowtie_action_answer,bowtie_monitor_choices,bowtie_monitor_answer,hotspot_region,ai_generated,source
"Pharmacology","","","A client is prescribed metformin. Which lab value should the nurse monitor before administration?","Serum creatinine","Serum potassium","Serum calcium","Serum sodium","","","Serum creatinine","Metformin is contraindicated in significant renal impairment due to the risk of lactic acidosis, so renal function (creatinine/eGFR) is checked before administration.","","","","","","","","","","","","","","","","","nurselabs"
"Maternal-Newborn","Postpartum","","Select all that apply: which of the following are signs of engorgement?","Firm breasts","Warmth","Fever","Nipple confusion","Redness","","Firm breasts | Warmth | Redness","Engorgement presents as firm, warm, tender, and often reddened breasts from vascular congestion and milk accumulation; fever and nipple confusion are not defining signs of engorgement itself.","","","","","","","","","","","","","","","","","nurselabs"
"Fundamentals","","","Put the steps of hand hygiene with soap and water in the correct order.","Wet hands with water","Apply soap","Lather and scrub for 20 seconds","Rinse hands","Dry with a clean towel","","","Proper handwashing follows this sequence to maximize removal of transient microorganisms: wetting first lets soap lather evenly, scrubbing for at least 20 seconds provides mechanical and chemical removal of pathogens, rinsing washes away the loosened microorganisms and soap, and drying prevents recontamination from a damp surface.","sequence","Wet hands with water | Apply soap | Lather and scrub for 20 seconds | Rinse hands | Dry with a clean towel","","","","","","","","","","","","","","","nurselabs"
"Pharmacology","Cardiovascular","","Which structure prevents backflow of blood from the aorta into the left ventricle during diastole?","Aortic valve","Mitral valve","Tricuspid valve","Pulmonic valve","","","Aortic valve","The aortic valve closes at the start of diastole once ventricular pressure falls below aortic pressure, preventing retrograde flow into the left ventricle.","","","","","","","","","","","","","","","","","nurselabs"
"Prioritization","Cardiovascular","","Which client should the nurse assess first?","A client with stable angina reporting no current pain","A client reporting new-onset crushing chest pain radiating to the jaw","A client due for a scheduled dose of a beta blocker","A client requesting a warm blanket","","","A client reporting new-onset crushing chest pain radiating to the jaw","Crushing chest pain radiating to the jaw suggests an acute MI and takes priority over stable/scheduled findings.","","","","","","","","","","","","","","","","","nurselabs"
"Anatomy & Physiology","Musculoskeletal","https://<project-ref>.supabase.co/storage/v1/object/public/question-images/knee-joint.png","Refer to the image. Which structure is labeled A?","Anterior cruciate ligament","Posterior cruciate ligament","Medial meniscus","Lateral meniscus","","","Anterior cruciate ligament","The ACL is the structure labeled A, running from the posterior femur to the anterior tibia, preventing anterior tibial translation.","","","","","","","","","","","","","","","","","nurselabs"
"Prioritization","","","For each finding, indicate whether it is indicated or not indicated for this client's plan of care.","Enforce strict bed rest with the head of the bed elevated to 30-45 degrees.","Prepare the client for urgent chest tube insertion.","Initiate continuous telemetry monitoring.","","","","Indicated | Not indicated | Indicated","Bed rest with the head elevated and continuous telemetry are both appropriate; urgent chest tube insertion is not indicated without evidence of pneumothorax.","grid","","Indicated | Not indicated","","","","","","","","","","","","","","nurselabs"
"Prioritization","","","For each finding, select all nursing actions that are appropriate.","New-onset confusion in an older adult client.","Stable vital signs at the client's own baseline.","","","","","Notify provider & Initiate fall precautions | Document only","New-onset confusion warrants both provider notification and fall precautions given the fall risk; a stable baseline finding only needs to be documented.","grid","","Notify provider | Reassess in 1 hour | Document only | Initiate fall precautions","","","","","","","","","","","","","","nurselabs"
"Prioritization","","","","","","","","","","","Airway takes priority per ABC prioritization, since an obstructed airway is an immediate life threat.","cloze","","","The nurse should first address the client's {{1}} because {{2}}.","airway | hydration status | pain level","airway","it is the immediate life threat | it improves comfort | it is documented first","it is the immediate life threat","","","","","","","","","nurselabs"
"Emergency Nursing","","","A client presents with fever, tachycardia, and hypotension 3 days after abdominal surgery.","","","","","","","","Sepsis is most likely given the post-operative fever, tachycardia, and hypotension; antibiotics and blood cultures are immediate priorities, with lactate and blood pressure monitored closely for deterioration.","bowtie","","","","","","","","Sepsis | Hypovolemia | Anaphylaxis","Sepsis","Administer antibiotics | Draw blood cultures | Give a diuretic | Apply a warm blanket","Administer antibiotics | Draw blood cultures","Lactate | Blood pressure | Urine output | Temperature","Lactate | Blood pressure","","","nurselabs"
"Anatomy & Physiology","Musculoskeletal","https://<project-ref>.supabase.co/storage/v1/object/public/question-images/knee-joint.png","Tap the structure that prevents anterior translation of the tibia relative to the femur.","","","","","","","","The anterior cruciate ligament (ACL) runs from the posterior femur to the anterior tibia and resists anterior tibial translation.","hotspot","","","","","","","","","","","","","","x=0.42|y=0.31|width=0.12|height=0.08","","nurselabs"
